2025-05-27 06:24:46.937 [info] (Client) Pylance async client (2025.5.1) started with python extension (2025.6.1)
2025-05-27 06:24:47.779 [info] [Info  - 6:24:47 AM] (4445) Server root directory: file:///home/bhavya/.vscode/extensions/ms-python.vscode-pylance-2025.5.1/dist
2025-05-27 06:24:47.780 [info] [Info  - 6:24:47 AM] (4445) Pylance language server 2025.5.1 (pyright version 1.1.400, commit b962ffc2) starting
2025-05-27 06:24:47.786 [info] [Info  - 6:24:47 AM] (4445) Starting service instance "hypr" for workspace "/home/bhavya/.config/hypr"
2025-05-27 06:24:47.843 [info] [Info  - 6:24:47 AM] (4445) Setting environmentName for service "hypr": "Python 3.13.3"
2025-05-27 06:24:47.843 [info] [Info  - 6:24:47 AM] (4445) Setting pythonPath for service "hypr": "/bin/python"
2025-05-27 06:24:47.843 [info] [Info  - 6:24:47 AM] (4445) No include entries specified; assuming /home/bhavya/.config/hypr
2025-05-27 06:24:47.844 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/node_modules
2025-05-27 06:24:47.844 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/__pycache__
2025-05-27 06:24:47.844 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/.*
2025-05-27 06:24:47.866 [info] [Info  - 6:24:47 AM] (4445) Assuming Python version 3.13.3.final.0
2025-05-27 06:24:47.954 [info] [Info  - 6:24:47 AM] (4445) No source files found.
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) Setting environmentName for service "hypr": "Python 3.13.3"
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) Setting pythonPath for service "hypr": "/bin/python"
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) No include entries specified; assuming /home/bhavya/.config/hypr
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/node_modules
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/__pycache__
2025-05-27 06:24:47.979 [info] [Info  - 6:24:47 AM] (4445) Auto-excluding **/.*
2025-05-27 06:24:48.006 [info] [Info  - 6:24:48 AM] (4445) Assuming Python version 3.13.3.final.0
2025-05-27 06:24:48.063 [info] [Info  - 6:24:48 AM] (4445) No source files found.
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) Setting environmentName for service "hypr": "Python 3.13.3"
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) Setting pythonPath for service "hypr": "/bin/python"
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) No include entries specified; assuming /home/bhavya/.config/hypr
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) Auto-excluding **/node_modules
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) Auto-excluding **/__pycache__
2025-05-27 06:24:48.073 [info] [Info  - 6:24:48 AM] (4445) Auto-excluding **/.*
2025-05-27 06:24:48.097 [info] [Info  - 6:24:48 AM] (4445) Assuming Python version 3.13.3.final.0
2025-05-27 06:24:48.144 [info] [Info  - 6:24:48 AM] (4445) No source files found.
2025-05-27 06:24:48.428 [info] [Info  - 6:24:48 AM] (4445) BG: Priority queue background worker(2) root directory: file:///home/bhavya/.vscode/extensions/ms-python.vscode-pylance-2025.5.1/dist
2025-05-27 06:24:48.428 [info] [Info  - 6:24:48 AM] (4445) BG: Priority queue background worker(2) started
